Owner,Repository Name,Repository Link,Star Count
crystal-lang,crystal,https://github.com/topics/crystal/crystal-lang/crystal,19600
kemalcr,kemal,https://github.com/topics/crystal/kemalcr/kemal,3700
veelenga,awesome-crystal,https://github.com/topics/crystal/veelenga/awesome-crystal,3400
luckyframework,lucky,https://github.com/topics/crystal/luckyframework/lucky,2600
amberframework,amber,https://github.com/topics/crystal/amberframework/amber,2600
vitobotta,hetzner-k3s,https://github.com/topics/crystal/vitobotta/hetzner-k3s,2200
getmango,Mango,https://github.com/topics/crystal/getmango/Mango,1700
ffwff,lilith,https://github.com/topics/crystal/ffwff/lilith,1200
drujensen,fib,https://github.com/topics/crystal/drujensen/fib,884000
hanabi1224,Programming-Language-Benchmarks,https://github.com/topics/crystal/hanabi1224/Programming-Language-Benchmarks,697000
owasp-noir,noir,https://github.com/topics/crystal/owasp-noir/noir,656000
amethyst-framework,amethyst,https://github.com/topics/crystal/amethyst-framework/amethyst,645000
askn,crystal-by-example,https://github.com/topics/crystal/askn/crystal-by-example,552000
crystal-ameba,ameba,https://github.com/topics/crystal/crystal-ameba/ameba,525000
crystal-community,icr,https://github.com/topics/crystal/crystal-community/icr,504000
will,crystal-pg,https://github.com/topics/crystal/will/crystal-pg,463000
elbywan,crystalline,https://github.com/topics/crystal/elbywan/crystalline,456000
martenframework,marten,https://github.com/topics/crystal/martenframework/marten,430000
imdrasil,jennifer.cr,https://github.com/topics/crystal/imdrasil/jennifer.cr,421000
vim-crystal,vim-crystal,https://github.com/topics/crystal/vim-crystal/vim-crystal,419000
